user_license_id,account_id,customer_id,user_email,user_role,activated_date,last_login_date,status
UL000001,ACC001,CUST001,user1@example.com,Viewer,2024-05-01,2024-09-21,active
UL000002,ACC001,CUST001,user2@example.com,Viewer,2024-04-19,2024-09-17,active
UL000003,ACC001,CUST001,user3@example.com,Viewer,2024-08-11,2024-10-08,active
UL000004,ACC001,CUST001,user4@example.com,Power User,2024-05-12,2024-09-21,active
UL000005,ACC001,CUST001,user5@example.com,Viewer,2023-12-20,2024-10-01,active
UL000006,ACC001,CUST001,user6@example.com,Viewer,2024-08-31,2024-09-27,active
UL000007,ACC001,CUST001,user7@example.com,Viewer,2024-03-29,2024-10-05,active
UL000008,ACC001,CUST001,user8@example.com,Viewer,2024-02-02,2024-10-12,active
UL000009,ACC001,CUST001,user9@example.com,Power User,2023-11-27,2024-09-17,active
UL000010,ACC001,CUST001,user10@example.com,Power User,2024-08-30,2024-09-28,active
UL000011,ACC001,CUST001,user11@example.com,Viewer,2024-04-25,2024-10-01,active
UL000012,ACC001,CUST001,user12@example.com,Viewer,2023-10-07,2024-10-01,active
UL000013,ACC001,CUST001,user13@example.com,Viewer,2024-07-17,2024-10-05,active
UL000014,ACC001,CUST001,user14@example.com,Power User,2024-07-18,2024-07-19,active
UL000015,ACC001,CUST001,user15@example.com,Power User,2023-11-11,2024-09-01,active
UL000016,ACC001,CUST001,user16@example.com,Viewer,2023-11-23,2024-09-28,active
UL000017,ACC001,CUST001,user17@example.com,Admin,2024-01-28,2024-10-06,active
UL000018,ACC001,CUST001,user18@example.com,Power User,2024-04-17,2024-09-30,active
UL000019,ACC001,CUST001,user19@example.com,Viewer,2024-08-05,2024-09-20,active
UL000020,ACC001,CUST001,user20@example.com,Power User,2024-01-02,2024-09-23,active
UL000021,ACC002,CUST002,user21@example.com,Viewer,2024-08-07,2024-08-20,active
UL000022,ACC002,CUST002,user22@example.com,Power User,2023-12-19,2024-10-08,active
UL000023,ACC002,CUST002,user23@example.com,Power User,2024-06-03,2024-10-04,active
UL000024,ACC002,CUST002,user24@example.com,Viewer,2024-05-10,2024-10-14,active
UL000025,ACC002,CUST002,user25@example.com,Power User,2023-10-04,2024-10-03,active
UL000026,ACC002,CUST002,user26@example.com,Power User,2023-11-07,2024-09-10,active
UL000027,ACC002,CUST002,user27@example.com,Power User,2024-08-07,2024-09-23,active
UL000028,ACC002,CUST002,user28@example.com,Viewer,2024-03-21,2024-10-15,active
UL000029,ACC002,CUST002,user29@example.com,Viewer,2024-04-28,2024-10-14,active
UL000030,ACC002,CUST002,user30@example.com,Power User,2024-08-25,2024-09-26,active
UL000031,ACC002,CUST002,user31@example.com,Viewer,2024-01-22,2024-10-09,active
UL000032,ACC002,CUST002,user32@example.com,Power User,2024-01-13,2024-10-12,active
UL000033,ACC002,CUST002,user33@example.com,Power User,2024-04-26,2024-10-02,active
UL000034,ACC002,CUST002,user34@example.com,Viewer,2024-03-01,2024-09-27,active
UL000035,ACC002,CUST002,user35@example.com,Power User,2024-01-16,2024-09-29,active
UL000036,ACC002,CUST002,user36@example.com,Power User,2024-03-12,2024-05-29,active
UL000037,ACC002,CUST002,user37@example.com,Power User,2024-04-18,2024-10-07,active
UL000038,ACC002,CUST002,user38@example.com,Viewer,2024-04-25,2024-09-24,active
UL000039,ACC002,CUST002,user39@example.com,Admin,2023-10-20,,inactive
UL000040,ACC002,CUST002,user40@example.com,Power User,2023-11-19,2024-09-26,active
UL000041,ACC002,CUST002,user41@example.com,Viewer,2024-06-19,2024-09-27,active
UL000042,ACC002,CUST002,user42@example.com,Power User,2024-01-11,2024-09-26,active
UL000043,ACC002,CUST002,user43@example.com,Admin,2023-10-29,2024-10-12,active
UL000044,ACC002,CUST002,user44@example.com,Viewer,2024-04-01,2024-10-02,active
UL000045,ACC002,CUST002,user45@example.com,Viewer,2024-02-10,2024-07-09,active
UL000046,ACC002,CUST002,user46@example.com,Admin,2023-12-22,2024-09-21,active
UL000047,ACC002,CUST002,user47@example.com,Admin,2024-07-17,2024-08-31,active
UL000048,ACC002,CUST002,user48@example.com,Power User,2024-05-07,2024-10-12,active
UL000049,ACC002,CUST002,user49@example.com,Admin,2023-11-08,2024-09-20,active
UL000050,ACC002,CUST002,user50@example.com,Power User,2024-02-14,2024-10-17,active
UL000051,ACC002,CUST002,user51@example.com,Power User,2024-01-03,2024-05-15,active
UL000052,ACC002,CUST002,user52@example.com,Power User,2024-09-11,2024-09-27,active
UL000053,ACC002,CUST002,user53@example.com,Power User,2024-02-26,2024-09-25,active
UL000054,ACC002,CUST002,user54@example.com,Viewer,2024-04-16,2024-10-08,active
UL000055,ACC002,CUST002,user55@example.com,Power User,2023-12-22,2024-10-07,active
